,id,file_analyzed,size_category,original_file_name,dir_name,exec_time,result,Correct,trip _start,trip_end,routes
11,10,tickets/aegeanair/im_medium/aegeanairTicket.jpeg,medium,aegeanairTicket.jpeg,tickets/aegeanair,6.86020302772522,200,Yes,"16:10 Prague Ruzyne, T2",18:40 Athens int E Venizelos,[]
12,11,tickets/aegeanair/im_big/aegeanairTicket.jpeg,big,aegeanairTicket.jpeg,tickets/aegeanair,6.859839916229248,200,Yes,"18:10 Prague Ruzyne, T2",19:40 Attens Int E Venizelos,[]
13,12,tickets/airfrance/im_small/airfranceTicket copy.jpeg,small,airfranceTicket copy.jpeg,tickets/airfrance,7.5473551750183105,400,No,,,[]
14,13,tickets/airfrance/im_medium/airfranceTicket copy.jpeg,medium,airfranceTicket copy.jpeg,tickets/airfrance,7.594815969467163,400,No,,,[]
15,14,tickets/airfrance/im_big/airfranceTicket copy.jpeg,big,airfranceTicket copy.jpeg,tickets/airfrance,7.792638063430786,400,No,,,[]
16,15,tickets/airfrance/im_small/airfranceTicket2 copy.jpeg,small,airfranceTicket2 copy.jpeg,tickets/airfrance,6.858687877655029,400,No,,,[]
17,16,tickets/airfrance/im_medium/airfranceTicket2 copy.jpeg,medium,airfranceTicket2 copy.jpeg,tickets/airfrance,12.70399785041809,400,No,,,[]
18,17,tickets/airfrance/im_big/airfranceTicket2 copy.jpeg,big,airfranceTicket2 copy.jpeg,tickets/airfrance,8.085835933685303,400,No,,,[]
19,18,tickets/airfrance/im_small/airfranceticket2.jpeg,small,airfranceticket2.jpeg,tickets/airfrance,7.473982095718384,400,No,,,[]
20,19,tickets/airfrance/im_medium/airfranceticket2.jpeg,medium,airfranceticket2.jpeg,tickets/airfrance,7.372840881347656,400,No,,,[]
21,20,tickets/airfrance/im_big/airfranceticket2.jpeg,big,airfranceticket2.jpeg,tickets/airfrance,7.576961994171143,400,No,,,[]
22,21,tickets/airfrance/im_small/airfranceTicket.jpeg,small,airfranceTicket.jpeg,tickets/airfrance,7.375469923019409,400,No,,,[]
23,22,tickets/airfrance/im_medium/airfranceTicket.jpeg,medium,airfranceTicket.jpeg,tickets/airfrance,8.292030334472656,400,No,,,[]
24,23,tickets/airfrance/im_big/airfranceTicket.jpeg,big,airfranceTicket.jpeg,tickets/airfrance,8.601217031478882,400,No,,,[]
25,24,tickets/easyjetair/im_small/easyjetTicket.png,small,easyjetTicket.png,tickets/easyjetair,8.495850086212158,200,Yes,Malpensa International Airport,Humberto Delgado Airport (Lisbon Portela Airport),[]
26,25,tickets/easyjetair/im_medium/easyjetTicket.png,medium,easyjetTicket.png,tickets/easyjetair,7.476072311401367,200,Yes,(LIS) Lisbona (T2),(MXP) Milano Malpensa (T1),[]
27,26,tickets/easyjetair/im_big/easyjetTicket.png,big,easyjetTicket.png,tickets/easyjetair,8.84669280052185,200,Yes,Malpensa International Airport,Humberto Delgado Airport (Lisbon Portela Airport),[]
28,27,tickets/easyjetair/im_small/easyjetTicket.jpg,small,easyjetTicket.jpg,tickets/easyjetair,9.178222179412842,200,Yes,Malpensa International Airport,Humberto Delgado Airport (Lisbon Portela Airport),[]
29,28,tickets/easyjetair/im_medium/easyjetTicket.jpg,medium,easyjetTicket.jpg,tickets/easyjetair,8.083895921707153,200,Yes,(LIS) Lisbona (T2),(MXP) Milano Malpensa (T1),[]
30,29,tickets/easyjetair/im_big/easyjetTicket.jpg,big,easyjetTicket.jpg,tickets/easyjetair,8.090833187103271,200,No,(MXP) Milano Malpensa (T1),11:15,[]
31,30,tickets/easyjetair/im_small/hello.png,small,hello.png,tickets/easyjetair,9.07002305984497,200,Yes,Malpensa International Airport,Humberto Delgado Airport (Lisbon Portela Airport),[]
32,31,tickets/easyjetair/im_medium/hello.png,medium,hello.png,tickets/easyjetair,7.537559986114502,200,Yes,(LIS) Lisbona (T2),(MXP) Milano Malpensa (T1),[]
33,32,tickets/easyjetair/im_big/hello.png,big,hello.png,tickets/easyjetair,7.558004140853882,200,No,(MXP) Milano Malpensa (T1),EJU2717,[]
34,33,tickets/easyjetair/im_small/helloSmall.jpeg,small,helloSmall.jpeg,tickets/easyjetair,7.5624473094940186,200,No,EJU2717,(LIS) Lisbona (T2),[]
35,34,tickets/easyjetair/im_medium/helloSmall.jpeg,medium,helloSmall.jpeg,tickets/easyjetair,8.276190042495728,200,Yes,Malpensa International Airport,Humberto Delgado Airport (Lisbon Portela Airport),[]
36,35,tickets/easyjetair/im_big/helloSmall.jpeg,big,helloSmall.jpeg,tickets/easyjetair,10.120891094207764,200,Yes,Malpensa International Airport,Humberto Delgado Airport (Lisbon Portela Airport),[]
37,36,tickets/royaldutchair/im_small/klmairTicket.jpeg,small,klmairTicket.jpeg,tickets/royaldutchair,6.8015830516815186,400,No,,,[]
38,37,tickets/royaldutchair/im_medium/klmairTicket.jpeg,medium,klmairTicket.jpeg,tickets/royaldutchair,14.33713412284851,200,No,-1,-1,"[[3683.3530381455066, ['Senador Petr̫nio Portela Airport', 'Vance Air Force Base']], [2884.929146007446, ['Senador Petr̫nio Portela Airport', 'Anderson Regional Airport']], [0.0, ['Senador Petr̫nio Portela Airport', 'Senador Petr̫nio Portela Airport']], [2544.4103015885285, ['Senador Petr̫nio Portela Airport', 'Clarence A. Bain Airport']], [4678.729781978822, ['Senador Petr̫nio Portela Airport', ""Villanova D'Albenga International Airport""]], [303.9960842965677, ['Senador Petr̫nio Portela Airport', 'Pinto Martins International Airport']], [10634.578169522676, ['Senador Petr̫nio Portela Airport', 'Geraldton Airport']], [1050.5734830135598, ['Vance Air Force Base', 'Anderson Regional Airport']], [3683.3530381455066, ['Vance Air Force Base', 'Senador Petr̫nio Portela Airport']], [1390.4597478278047, ['Vance Air Force Base', 'Clarence A. Bain Airport']], [7321.856795276054, ['Vance Air Force Base', ""Villanova D'Albenga International Airport""]], [3985.3915040784887, ['Vance Air Force Base', 'Pinto Martins International Airport']], [10441.067777340508, ['Vance Air Force Base', 'Geraldton Airport']], [2884.929146007446, ['Anderson Regional Airport', 'Senador Petr̫nio Portela Airport']], [366.0308435880946, ['Anderson Regional Airport', 'Clarence A. Bain Airport']], [5.899012088775635e-05, ['Anderson Regional Airport', 'Anderson Regional Airport']], [6283.1266913096815, ['Anderson Regional Airport', ""Villanova D'Albenga International Airport""]], [3171.6834127037946, ['Anderson Regional Airport', 'Pinto Martins International Airport']], [10893.353067142463, ['Anderson Regional Airport', 'Geraldton Airport']], [2544.4103015885285, ['Clarence A. Bain Airport', 'Senador Petr̫nio Portela Airport']], [366.0308435880946, ['Clarence A. Bain Airport', 'Anderson Regional Airport']], [5978.389497240736, ['Clarence A. Bain Airport', ""Villanova D'Albenga International Airport""]], [2825.904413801137, ['Clarence A. Bain Airport', 'Pinto Martins International Airport']], [11071.33404977965, ['Clarence A. Bain Airport', 'Geraldton Airport']], [4450.701592634707, [""Villanova D'Albenga International Airport"", 'Pinto Martins International Airport']], [6283.1266913096815, [""Villanova D'Albenga International Airport"", 'Anderson Regional Airport']], [6193.079566034996, [""Villanova D'Albenga International Airport"", 'Geraldton Airport']], [4678.729781978822, [""Villanova D'Albenga International Airport"", 'Senador Petr̫nio Portela Airport']], [3171.6834127037946, ['Pinto Martins International Airport', 'Anderson Regional Airport']], [0.0, ['Pinto Martins International Airport', 'Pinto Martins International Airport']], [10334.039469150177, ['Pinto Martins International Airport', 'Geraldton Airport']], [303.9960842965677, ['Pinto Martins International Airport', 'Senador Petr̫nio Portela Airport']], [10634.578169522676, ['Geraldton Airport', 'Senador Petr̫nio Portela Airport']], [10334.039469150177, ['Geraldton Airport', 'Pinto Martins International Airport']], [10893.353067142463, ['Geraldton Airport', 'Anderson Regional Airport']]]"
39,38,tickets/royaldutchair/im_big/klmairTicket.jpeg,big,klmairTicket.jpeg,tickets/royaldutchair,9.211666345596313,400,No,,,[]
40,39,tickets/royaldutchair/im_small/klmairTicket2.jpeg,small,klmairTicket2.jpeg,tickets/royaldutchair,14.33836579322815,200,No,-1,-1,"[[5.899012088775635e-05, ['Amsterdam Airport Schiphol', 'Amsterdam Airport Schiphol']], [1464.641953773968, ['Amsterdam Airport Schiphol', 'Lennart Meri Tallinn Airport']]]"
41,40,tickets/royaldutchair/im_medium/klmairTicket2.jpeg,medium,klmairTicket2.jpeg,tickets/royaldutchair,14.65025806427002,200,No,-1,-1,"[[5.899012088775635e-05, ['Amsterdam Airport Schiphol', 'Amsterdam Airport Schiphol']], [1464.641953773968, ['Amsterdam Airport Schiphol', 'Lennart Meri Tallinn Airport']]]"
42,41,tickets/royaldutchair/im_big/klmairTicket2.jpeg,big,klmairTicket2.jpeg,tickets/royaldutchair,14.838905096054077,200,No,-1,-1,"[[5.899012088775635e-05, ['Amsterdam Airport Schiphol', 'Amsterdam Airport Schiphol']], [1464.641953773968, ['Amsterdam Airport Schiphol', 'Lennart Meri Tallinn Airport']]]"
43,42,tickets/royaldutchair/im_small/royaldutchairTicket.jpeg,small,royaldutchairTicket.jpeg,tickets/royaldutchair,7.581507921218872,200,Yes,Stavanger Airport Sola,Amsterdam Airport Schiphol,[]
44,43,tickets/royaldutchair/im_medium/royaldutchairTicket.jpeg,medium,royaldutchairTicket.jpeg,tickets/royaldutchair,7.472886085510254,200,Yes,Stavanger Airport Sola,Amsterdam Airport Schiphol,[]
45,44,tickets/royaldutchair/im_big/royaldutchairTicket.jpeg,big,royaldutchairTicket.jpeg,tickets/royaldutchair,7.558656930923462,200,Yes,Stavanger Airport Sola,Amsterdam Airport Schiphol,[]
46,45,tickets/aireuropa/im_small/aireuropaTicket.jpeg,small,aireuropaTicket.jpeg,tickets/aireuropa,7.285524129867554,400,No,,,[]
47,46,tickets/aireuropa/im_medium/aireuropaTicket.jpeg,medium,aireuropaTicket.jpeg,tickets/aireuropa,11.366342306137085,400,No,,,[]
48,47,tickets/aireuropa/im_big/aireuropaTicket.jpeg,big,aireuropaTicket.jpeg,tickets/aireuropa,9.934011220932007,400,No,,,[]
49,48,tickets/aireuropa/im_small/aireuropaTicket2.jpeg,small,aireuropaTicket2.jpeg,tickets/aireuropa,10.033177852630615,200,Yes,-1,-1,"[[5016.721216781251, ['Augusta State Airport', 'Palma De Mallorca Airport']], [4968.141453703223, ['Augusta State Airport', 'Barcelona International Airport']], [0.0, ['Augusta State Airport', 'Augusta State Airport']], [2528.779448493309, ['Augusta State Airport', 'Senador Petr̫nio Portela Airport']], [11863.422633475006, ['Augusta State Airport', 'Guangzhou Baiyun International Airport']], [8817.360397298604, ['Augusta State Airport', 'Sainte Marie Airport']], [2769.8167843499377, ['Augusta State Airport', 'Pinto Martins International Airport']], [903.4592246528582, ['Augusta State Airport', 'Anderson Regional Airport']], [128.83772155483135, ['Palma De Mallorca Airport', 'Barcelona International Airport']], [5016.721216781251, ['Palma De Mallorca Airport', 'Augusta State Airport']], [4195.455076297469, ['Palma De Mallorca Airport', 'Senador Petr̫nio Portela Airport']], [7573.185833504222, ['Palma De Mallorca Airport', 'Guangzhou Baiyun International Airport']], [4628.673226952917, ['Palma De Mallorca Airport', 'Sainte Marie Airport']], [3966.650430529123, ['Palma De Mallorca Airport', 'Pinto Martins International Airport']], [5905.866268688163, ['Palma De Mallorca Airport', 'Anderson Regional Airport']], [4968.141453703223, ['Barcelona International Airport', 'Augusta State Airport']], [4230.951651875964, ['Barcelona International Airport', 'Senador Petr̫nio Portela Airport']], [7603.6253242417915, ['Barcelona International Airport', 'Guangzhou Baiyun International Airport']], [4736.425246507192, ['Barcelona International Airport', 'Sainte Marie Airport']], [4009.508427159646, ['Barcelona International Airport', 'Pinto Martins International Airport']], [5861.829709175798, ['Barcelona International Airport', 'Anderson Regional Airport']], [0.0, ['Senador Petr̫nio Portela Airport', 'Senador Petr̫nio Portela Airport']], [10472.264179221283, ['Senador Petr̫nio Portela Airport', 'Guangzhou Baiyun International Airport']], [6441.990244364188, ['Senador Petr̫nio Portela Airport', 'Sainte Marie Airport']], [303.9960842965677, ['Senador Petr̫nio Portela Airport', 'Pinto Martins International Airport']], [2884.929146007446, ['Senador Petr̫nio Portela Airport', 'Anderson Regional Airport']], [4110.919379870407, ['Guangzhou Baiyun International Airport', 'Sainte Marie Airport']], [10472.264179221283, ['Guangzhou Baiyun International Airport', 'Senador Petr̫nio Portela Airport']], [10221.180913366841, ['Guangzhou Baiyun International Airport', 'Pinto Martins International Airport']], [11317.331355154805, ['Guangzhou Baiyun International Airport', 'Anderson Regional Airport']], [6441.990244364188, ['Sainte Marie Airport', 'Senador Petr̫nio Portela Airport']], [6158.039174863937, ['Sainte Marie Airport', 'Pinto Martins International Airport']], [9326.580163379394, ['Sainte Marie Airport', 'Anderson Regional Airport']], [303.9960842965677, ['Pinto Martins International Airport', 'Senador Petr̫nio Portela Airport']], [0.0, ['Pinto Martins International Airport', 'Pinto Martins International Airport']], [3171.6834127037946, ['Pinto Martins International Airport', 'Anderson Regional Airport']], [3171.6834127037946, ['Anderson Regional Airport', 'Pinto Martins International Airport']], [2884.929146007446, ['Anderson Regional Airport', 'Senador Petr̫nio Portela Airport']], [5.899012088775635e-05, ['Anderson Regional Airport', 'Anderson Regional Airport']]]"
50,49,tickets/aireuropa/im_medium/aireuropaTicket2.jpeg,medium,aireuropaTicket2.jpeg,tickets/aireuropa,10.03889274597168,200,Yes,-1,-1,"[[5016.721216781251, ['Augusta State Airport', 'Palma De Mallorca Airport']], [4968.141453703223, ['Augusta State Airport', 'Barcelona International Airport']], [0.0, ['Augusta State Airport', 'Augusta State Airport']], [2528.779448493309, ['Augusta State Airport', 'Senador Petr̫nio Portela Airport']], [11863.422633475006, ['Augusta State Airport', 'Guangzhou Baiyun International Airport']], [8817.360397298604, ['Augusta State Airport', 'Sainte Marie Airport']], [2769.8167843499377, ['Augusta State Airport', 'Pinto Martins International Airport']], [903.4592246528582, ['Augusta State Airport', 'Anderson Regional Airport']], [128.83772155483135, ['Palma De Mallorca Airport', 'Barcelona International Airport']], [5016.721216781251, ['Palma De Mallorca Airport', 'Augusta State Airport']], [4195.455076297469, ['Palma De Mallorca Airport', 'Senador Petr̫nio Portela Airport']], [7573.185833504222, ['Palma De Mallorca Airport', 'Guangzhou Baiyun International Airport']], [4628.673226952917, ['Palma De Mallorca Airport', 'Sainte Marie Airport']], [3966.650430529123, ['Palma De Mallorca Airport', 'Pinto Martins International Airport']], [5905.866268688163, ['Palma De Mallorca Airport', 'Anderson Regional Airport']], [4968.141453703223, ['Barcelona International Airport', 'Augusta State Airport']], [4230.951651875964, ['Barcelona International Airport', 'Senador Petr̫nio Portela Airport']], [7603.6253242417915, ['Barcelona International Airport', 'Guangzhou Baiyun International Airport']], [4736.425246507192, ['Barcelona International Airport', 'Sainte Marie Airport']], [4009.508427159646, ['Barcelona International Airport', 'Pinto Martins International Airport']], [5861.829709175798, ['Barcelona International Airport', 'Anderson Regional Airport']], [0.0, ['Senador Petr̫nio Portela Airport', 'Senador Petr̫nio Portela Airport']], [10472.264179221283, ['Senador Petr̫nio Portela Airport', 'Guangzhou Baiyun International Airport']], [6441.990244364188, ['Senador Petr̫nio Portela Airport', 'Sainte Marie Airport']], [303.9960842965677, ['Senador Petr̫nio Portela Airport', 'Pinto Martins International Airport']], [2884.929146007446, ['Senador Petr̫nio Portela Airport', 'Anderson Regional Airport']], [4110.919379870407, ['Guangzhou Baiyun International Airport', 'Sainte Marie Airport']], [10472.264179221283, ['Guangzhou Baiyun International Airport', 'Senador Petr̫nio Portela Airport']], [10221.180913366841, ['Guangzhou Baiyun International Airport', 'Pinto Martins International Airport']], [11317.331355154805, ['Guangzhou Baiyun International Airport', 'Anderson Regional Airport']], [6441.990244364188, ['Sainte Marie Airport', 'Senador Petr̫nio Portela Airport']], [6158.039174863937, ['Sainte Marie Airport', 'Pinto Martins International Airport']], [9326.580163379394, ['Sainte Marie Airport', 'Anderson Regional Airport']], [303.9960842965677, ['Pinto Martins International Airport', 'Senador Petr̫nio Portela Airport']], [0.0, ['Pinto Martins International Airport', 'Pinto Martins International Airport']], [3171.6834127037946, ['Pinto Martins International Airport', 'Anderson Regional Airport']], [3171.6834127037946, ['Anderson Regional Airport', 'Pinto Martins International Airport']], [2884.929146007446, ['Anderson Regional Airport', 'Senador Petr̫nio Portela Airport']], [5.899012088775635e-05, ['Anderson Regional Airport', 'Anderson Regional Airport']]]"
