,directory_name,directory_path,file_name,original_size,small_path,medium_path,big_path,small_size,medium_size,big_size,small_dpi,medium_dpi,big_dpi
28,olympicair,tickets/olympicair,olympicairTicket.jpeg,medium,tickets/olympicair/im_small/olympicairTicket.jpeg,tickets/olympicair/im_medium/olympicairTicket.jpeg,tickets/olympicair/im_big/olympicairTicket.jpeg,"(364, 1020)","(787, 1111)","(764, 1420)","(96, 96)","(96, 96)","(96, 96)"
29,jetssmartair,tickets/jetssmartair,jetsmartairTicket.jpeg,medium,tickets/jetssmartair/im_small/jetsmartairTicket.jpeg,tickets/jetssmartair/im_medium/jetsmartairTicket.jpeg,tickets/jetssmartair/im_big/jetsmartairTicket.jpeg,"(587, 911)","(400, 700)","(987, 1311)","(0, 0)","(0, 0)","(0, 0)"
30,swissair,tickets/swissair,swissairTicket.jpeg,medium,tickets/swissair/im_small/swissairTicket.jpeg,tickets/swissair/im_medium/swissairTicket.jpeg,tickets/swissair/im_big/swissairTicket.jpeg,"(200, 500)","(418, 579)","(600, 900)","(96, 96)","(96, 96)","(96, 96)"
31,middleeastairlines,tickets/middleeastairlines,middleeastTicket.jpeg,medium,tickets/middleeastairlines/im_small/middleeastTicket.jpeg,tickets/middleeastairlines/im_medium/middleeastTicket.jpeg,tickets/middleeastairlines/im_big/middleeastTicket.jpeg,"(218, 379)","(905, 1280)","(618, 779)","(144, 144)","(144, 144)","(144, 144)"
32,condorair,tickets/condorair,condorairTicket.jpg,medium,tickets/condorair/im_small/condorairTicket.jpg,tickets/condorair/im_medium/condorairTicket.jpg,tickets/condorair/im_big/condorairTicket.jpg,"(705, 1080)","(564, 1222)","(1105, 1480)","(72, 72)","(72, 72)","(72, 72)"
33,condorair,tickets/condorair,condorairTicket Medium.png,medium,tickets/condorair/im_small/condorairTicket Medium.png,tickets/condorair/im_medium/condorairTicket Medium.png,tickets/condorair/im_big/condorairTicket Medium.png,"(364, 1022)","(295, 640)","(764, 1422)","(72, 72)","(72, 72)","(72, 72)"
34,frontierairline,tickets/frontierairline,frontierairlineTicket.jpeg,medium,tickets/frontierairline/im_small/frontierairlineTicket.jpeg,tickets/frontierairline/im_medium/frontierairlineTicket.jpeg,tickets/frontierairline/im_big/frontierairlineTicket.jpeg,"(95, 440)","(564, 1220)","(495, 840)","(72, 72)","(72, 72)","(72, 72)"
35,voloteaair,tickets/voloteaair,voloteaairTicket3.jpeg,medium,tickets/voloteaair/im_small/voloteaairTicket3.jpeg,tickets/voloteaair/im_medium/voloteaairTicket3.jpeg,tickets/voloteaair/im_big/voloteaairTicket3.jpeg,"(364, 1020)","(793, 1115)","(764, 1420)","(96, 96)","(96, 96)","(96, 96)"
36,voloteaair,tickets/voloteaair,voloteaairTicket2.jpeg,medium,tickets/voloteaair/im_small/voloteaairTicket2.jpeg,tickets/voloteaair/im_medium/voloteaairTicket2.jpeg,tickets/voloteaair/im_big/voloteaairTicket2.jpeg,"(593, 915)","(787, 1111)","(993, 1315)","(96, 96)","(96, 96)","(96, 96)"
37,voloteaair,tickets/voloteaair,voloteairTicket.jpeg,medium,tickets/voloteaair/im_small/voloteairTicket.jpeg,tickets/voloteaair/im_medium/voloteairTicket.jpeg,tickets/voloteaair/im_big/voloteairTicket.jpeg,"(587, 911)","(435, 609)","(987, 1311)","(72, 72)","(72, 72)","(72, 72)"
