,file_analyzed,size_category,original_file_name,dir_name,exec_time,result,trip _start,trip_end,routes
10,tickets/aegeanair/im_medium/aegeanairTicket.jpeg,medium,aegeanairTicket.jpeg,tickets/aegeanair,6.86020302772522,200,"16:10 Prague Ruzyne, T2 ",18:40 Athens int E Venizelos ,[]
11,tickets/aegeanair/im_big/aegeanairTicket.jpeg,big,aegeanairTicket.jpeg,tickets/aegeanair,6.859839916229248,200,"18:10 Prague Ruzyne, T2 ",19:40 Attens Int E Venizelos ,[]
12,tickets/airfrance/im_small/airfranceTicket copy.jpeg,small,airfranceTicket copy.jpeg,tickets/airfrance,7.5473551750183105,400,,,[]
13,tickets/airfrance/im_medium/airfranceTicket copy.jpeg,medium,airfranceTicket copy.jpeg,tickets/airfrance,7.594815969467163,400,,,[]
14,tickets/airfrance/im_big/airfranceTicket copy.jpeg,big,airfranceTicket copy.jpeg,tickets/airfrance,7.792638063430786,400,,,[]
15,tickets/airfrance/im_small/airfranceTicket2 copy.jpeg,small,airfranceTicket2 copy.jpeg,tickets/airfrance,6.858687877655029,400,,,[]
16,tickets/airfrance/im_medium/airfranceTicket2 copy.jpeg,medium,airfranceTicket2 copy.jpeg,tickets/airfrance,12.70399785041809,400,,,[]
17,tickets/airfrance/im_big/airfranceTicket2 copy.jpeg,big,airfranceTicket2 copy.jpeg,tickets/airfrance,8.085835933685303,400,,,[]
18,tickets/airfrance/im_small/airfranceticket2.jpeg,small,airfranceticket2.jpeg,tickets/airfrance,7.473982095718384,400,,,[]
19,tickets/airfrance/im_medium/airfranceticket2.jpeg,medium,airfranceticket2.jpeg,tickets/airfrance,7.372840881347656,400,,,[]
20,tickets/airfrance/im_big/airfranceticket2.jpeg,big,airfranceticket2.jpeg,tickets/airfrance,7.576961994171143,400,,,[]
21,tickets/airfrance/im_small/airfranceTicket.jpeg,small,airfranceTicket.jpeg,tickets/airfrance,7.375469923019409,400,,,[]
22,tickets/airfrance/im_medium/airfranceTicket.jpeg,medium,airfranceTicket.jpeg,tickets/airfrance,8.292030334472656,400,,,[]
